hotel_class,name,id,locality,region
3.0,Executive Hotel Vintage Court,81531,San Francisco,CA
2.8850684495383634,Archstone South Market,281778,San Francisco,CA
2.8850684495383634,SW Hotel,224951,San Francisco,CA
2.0,Andrews Hotel,112320,San Francisco,CA
4.0,Hilton San Francisco Union Square,81295,,
3.0,Radisson Hotel Fisherman's Wharf,81222,San Francisco,CA
2.5,Jackson Court San Francisco,112311,San Francisco,CA
2.8850684495383634,Park Hotel,563989,San Francisco,CA
4.0,Sir Francis Drake Hotel - a Kimpton Hotel,81377,San Francisco,CA
3.5,Club Quarters San Francisco,268240,San Francisco,CA
4.0,Hotel Adagio,279426,San Francisco,CA
3.5,"Villa Florence, A JRK Hotel",81529,San Francisco,CA
3.0,Courtyard San Francisco Downtown,223955,San Francisco,CA
3.5,Marriott San Francisco Fisherman's Wharf,81141,San Francisco,CA
4.0,Hyatt Regency San Francisco,81103,San Francisco,CA
3.5,"Hotel Kabuki, a Joie de Vivre hotel",113923,San Francisco,CA
2.8850684495383634,Geary Parkway Motel,311255,San Francisco,CA
2.5,Hotel Vertigo,81803,San Francisco,CA
3.5,Hotel Diva,112303,San Francisco,CA
3.0,"Hotel Carlton, a Joie de Vivre hotel",80925,San Francisco,CA
2.5,The Mosser,81169,San Francisco,CA
4.0,Hyatt at Fisherman's Wharf,81087,San Francisco,CA
3.0,Hotel Boheme,112338,San Francisco,CA
4.0,Prescott Hotel - a Kimpton Hotel,81215,San Francisco,CA
4.0,San Francisco Marriott Marquis,81315,San Francisco,CA
2.5,Chelsea Motor Inn,119623,San Francisco,CA
2.5,"Hotel Del Sol, a Joie de Vivre hotel",119643,San Francisco,CA
2.0,Baldwin Hotel,119665,San Francisco,CA
2.8850684495383634,Redwood Inn,81249,San Francisco,CA
3.0,Holiday Inn Express Hotel & Suites San Francisco Fisherman's Wharf,217813,San Francisco,CA
3.5,Serrano Hotel - a Kimpton Hotel,80802,San Francisco,CA
2.8850684495383634,Ocean Park Motel,291227,San Francisco,CA
2.8850684495383634,Cow Hollow Motor Inn and Suites,112293,San Francisco,CA
3.0,"Hotel Tomo, a Joie de Vivre hotel",80917,San Francisco,CA
4.5,Taj Campton Place,81110,San Francisco,CA
2.5,"Phoenix Hotel, a Joie de Vivre hotel",81209,San Francisco,CA
4.0,Hotel Nikko San Francisco,80793,San Francisco,CA
4.0,InterContinental Mark Hopkins San Francisco,115623,San Francisco,CA
4.0,Palace Hotel,115617,San Francisco,CA
3.0,Courtyard by Marriott Fisherman's Wharf,81082,San Francisco,CA
4.0,W San Francisco,81669,San Francisco,CA
4.0,Parc 55 Wyndham,81192,San Francisco,CA
4.5,The Fairmont San Francisco,81397,San Francisco,CA
3.0,Hotel Griffon,113928,San Francisco,CA
3.5,Handlery Union Square Hotel,81019,San Francisco,CA
